Name,hs,dhw,hs_and_dhw,cs,el
B1839,42.46,3.132,45.592,0.0,7.913
B1852,11.472,1.534,13.006,0.0,2.511
B2925,90.862,5.765,96.627,0.0,10.606
B1851,44.156,1.034,45.19,0.0,2.581
B1838,56.772,2.195,58.967,0.0,3.359
B1853,39.432,2.469,41.901,0.0,3.839
B1850,39.804,1.028,40.832,0.0,2.542
B1862,50.81,1.212,52.022000000000006,0.0,3.254
B1849,68.47,1.467,69.937,0.0,4.277
B2943,63.715,1.489,65.20400000000001,0.0,4.12
B1984,268.63,15.338,283.968,0.0,47.977
B1989,110.845,20.142,130.987,0.0,20.634
B1861,40.481,0.959,41.440000000000005,0.0,2.049
B1987,54.82,1.239,56.059,0.0,3.521
B1985,0.0,0.0,0.0,0.0,1.046
B1988,47.396,2.366,49.762,0.0,3.825
B1860,57.309,2.363,59.672,0.0,3.68
B1982,70.492,1.498,71.99000000000001,0.0,4.654
B1979,21.539,2.586,24.125,0.0,4.923
B1848,123.367,7.962,131.329,0.0,14.969
B2923,129.942,7.962,137.904,0.0,14.979
B2924,0.0,18.211,18.211,0.0,3.447
B2921,106.972,6.72,113.692,0.0,12.689
B2922,98.182,5.765,103.947,0.0,10.601
B3000,39.318,1.153,40.471,0.0,2.54
B2919,101.858,6.72,108.578,0.0,12.687
B1843,36.205,1.181,37.385999999999996,0.0,2.969
B2920,94.943,5.765,100.708,0.0,10.593
B1840,49.91,1.261,51.171,0.0,3.52
B1837,76.061,1.742,77.80300000000001,0.0,5.741
B1845,52.196,1.501,53.696999999999996,0.0,4.41
B1847,54.52,1.225,55.745000000000005,0.0,3.13
B1846,61.315,1.275,62.589999999999996,0.0,3.295
B1836,64.089,2.907,66.996,0.0,4.748
B2946,34.344,0.988,35.332,0.0,2.273
B1842,29.488,0.935,30.423,0.0,1.992
B1844,72.982,1.523,74.505,0.0,4.976
B2947,31.131,0.981,32.112,0.0,2.164
B2926,43.789,1.135,44.924,0.0,2.7
B2966,47.749,1.268,49.017,0.0,3.515
B2962,52.136,1.292,53.428000000000004,0.0,3.633
B2937,31.333,0.961,32.294,0.0,2.099
B2997,53.033,1.227,54.26,0.0,3.228
B1857,37.184,1.129,38.312999999999995,0.0,2.685
B2998,18.438,1.203,19.641,0.0,3.014
B2969,52.212,1.268,53.480000000000004,0.0,3.522
B2987,47.077,1.244,48.321,0.0,3.31
B2980,48.17,1.291,49.461,0.0,3.625
B3003,28.365,1.043,29.407999999999998,0.0,2.296
B1995,74.786,3.078,77.864,0.0,5.261
B1999,89.867,2.917,92.784,0.0,4.941
B2768,51.251,1.822,53.073,0.0,2.589
B1998,33.306,0.98,34.285999999999994,0.0,2.21
B1859,109.143,2.424,111.56700000000001,0.0,10.158
B2001,61.082,1.185,62.267,0.0,2.927
B1997,14.55,1.731,16.281000000000002,0.0,3.045
B1996,54.197,2.537,56.734,0.0,4.197
B2000,58.131,1.252,59.383,0.0,3.633
B1992,218.93,1.871,220.80100000000002,0.0,6.725
B1856,46.219,0.988,47.207,0.0,2.291
B2968,53.26,1.254,54.513999999999996,0.0,3.192
B2953,34.736,1.263,35.998999999999995,0.0,3.053
B2959,36.39,1.169,37.559,0.0,2.779
B1855,145.692,3.048,148.74,0.0,13.457
B2975,36.552,1.359,37.911,0.0,2.811
B2967,31.446,1.358,32.804,0.0,2.89
B1835,131.15,2.821,133.971,0.0,12.859
B2988,31.696,1.056,32.752,0.0,2.566
B2990,10.842,1.029,11.871,0.0,2.402
B2010,92.685,3.621,96.306,0.0,6.258
B2009,94.892,9.746,104.63799999999999,0.0,16.444
B2011,129.707,3.569,133.27599999999998,0.0,25.818
B1950,197.149,3.63,200.779,0.0,6.583
B1949,181.177,3.275,184.452,0.0,5.714
B1945,118.235,8.974,127.209,0.0,16.84
B1939,154.435,25.43,179.865,0.0,53.955
B1944,34.649,4.915,39.564,0.0,9.63
B3004,105.364,16.713,122.077,0.0,33.31
B3006,95.997,12.796,108.793,0.0,25.447
B1858,19.203,2.237,21.439999999999998,0.0,3.995
B1993,72.991,3.149,76.14,0.0,5.229
B2006,142.576,2.92,145.49599999999998,0.0,4.841
B1834,77.422,1.843,79.265,0.0,5.781
B2008,77.076,3.949,81.02499999999999,0.0,6.956
B2769,128.031,2.941,130.972,0.0,4.942
B1948,111.984,2.755,114.73899999999999,0.0,4.416
B2004,186.917,1.902,188.819,0.0,5.95
B2007,44.785,4.628,49.413,0.0,8.43
B1947,153.899,2.775,156.674,0.0,4.761
B2976,35.73,1.367,37.096999999999994,0.0,2.809
B1822,31.774,1.076,32.85,0.0,2.639
B2999,31.414,1.2,32.614000000000004,0.0,2.8
B2989,29.895,1.223,31.118,0.0,2.887
B2991,28.762,1.2,29.962,0.0,2.794
B2992,34.364,1.223,35.586999999999996,0.0,2.894
B1827,57.256,1.525,58.781,0.0,4.094
B1818,56.28,3.863,60.143,0.0,6.632
B2972,28.696,1.201,29.897000000000002,0.0,2.797
B2993,30.904,1.2,32.104,0.0,2.8
B1646,34.359,1.806,36.165,0.0,3.706
B1636,140.675,3.106,143.781,0.0,42.885
B1634,40.342,3.936,44.278,0.0,7.043
B2933,65.337,4.207,69.544,0.0,7.088
B2938,66.843,4.94,71.783,0.0,8.943
B1841,20.394,2.947,23.340999999999998,0.0,5.455
B1632,27.161,1.613,28.774,0.0,4.952
B1854,67.217,1.53,68.747,0.0,4.895
B1644,29.064,2.15,31.214,0.0,5.13
B1821,50.664,1.52,52.184000000000005,0.0,4.636
B1645,60.554,1.906,62.46,0.0,6.325
B1823,41.545,1.221,42.766000000000005,0.0,3.167
B1826,31.472,1.006,32.478,0.0,2.404
B1648,53.458,1.637,55.095,0.0,4.818
B2942,32.197,1.196,33.393,0.0,2.738
B1647,75.884,2.433,78.31700000000001,0.0,8.329
B1820,29.479,0.993,30.471999999999998,0.0,2.348
B1649,43.775,1.288,45.062999999999995,0.0,3.327
B1825,12.076,0.887,12.963000000000001,0.0,2.734
B2983,26.591,1.365,27.956,0.0,2.881
B1650,50.157,1.357,51.513999999999996,0.0,3.941
B2944,32.028,1.263,33.291,0.0,3.0
B1824,31.516,1.226,32.742,0.0,2.83
B2982,36.223,1.451,37.674,0.0,2.812
B2970,32.139,1.452,33.591,0.0,2.893
B1635,53.292,4.117,57.409,0.0,7.123
